Survey data are below:,,,,,,,,,,
,,,,,,,,,,
,Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Variable 6,Variable 7,Variable 8,Variable 9,Variable 10
1,0.2524779017,U,1.3357649385,-1.2940801591,-0.8120338509,1.1195091926,-1.0569629661,-0.4816266651,-1.8445113721,0.2938684206
2,1.2402086398,Y,-0.3220398038,-0.3979333953,-0.7555463018,-1.289009211,0.3034515956,-0.6834583044,0.2438396038,-0.9734902042
3,-0.3976921738,,0.4169481714,1.3300316055,-0.6645961944,-0.3729511622,-0.756518384,-1.6841758905,2.0339291494,0.7190693701
4,1.678696751,H,-0.9645763255,1.0764401667,-0.2370676633,0.8739795231,NA,0.4232942965,-1.2534527966,-0.4978517186
5,-0.3440969441,U,-0.3324243567,-0.4325319442,-0.6632098043,1.1048850148,-1.0721481173,-1.0328569247,1.6730887977,-1.0193934516
6,1.0389897625,P,-1.3494469302,-1.0269896971,1.499998565,-0.5154559298,1.1136186093,1.0007885353,NA,0.2553787564
7,-0.3985183714,J,0.1906592394,NA,-0.0606089415,1.0211590219,1.4694471549,-0.9240176449,0.1231524248,0.9796445303
8,-1.2431684449,G,-0.4156841467,0.7962947902,-1.0035122911,1.1364229148,1.7956968337,0.4802054252,2.1569330174,-0.1841846666
9,0.5700908028,D,0.2285131962,-0.4157451238,-0.9039019392,NA,0.7986929399,-0.4336401335,-0.6400431276,-0.4836513225
10,0.1403586479,B,-0.0251941102,-1.7179384747,-0.1849443008,0.6850489546,0.6573973993,-2.2139682352,1.2055342023,-0.2156189505
11,1.1434289421,D,-0.7748642291,1.1783697408,-1.414027371,-0.8674969791,-0.1776946543,-0.5306866312,-0.0540174284,-0.0660390247
12,-1.3497021796,A,2.1921823779,1.1377084537,-0.5806930987,-0.8860238366,-2.7125272947,0.4247870407,0.1639995291,0.3918068436
13,0.9972940164,M,-0.2372329941,-1.5680156863,1.0347726558,0.0895138593,0.4911730289,0.2345898995,-0.4512512613,-0.2244896574
14,0.4572639185,C,0.703217155,1.5155951342,-0.8184656299,-1.3015167863,-0.0708392275,0.9315164968,1.2074076299,-0.1352987491
15,-0.0100862599,A,1.5198930992,-0.1527060532,-0.5218566865,-1.3377895898,-1.0480119464,-0.7772197921,-1.1645012573,-1.1458051888
16,-0.661567492,S,-1.1964681599,-0.3479535448,-0.7730699685,-0.6135818275,-0.7103389402,1.2224725389,1.75261063,0.6546263368
17,0.0347711197,Q,0.9530417289,-1.9311000318,0.0558800264,-0.7169147681,-0.2942036473,-0.3243423581,0.2312427762,1.195505425
18,0.451981892,R,0.4153921934,-0.0861211075,-0.5521567012,0.7472418695,-0.5829384827,0.1182138033,0.4337441347,2.1699783302
19,-1.725084614,J,1.1751663015,-0.8217248475,-0.4181733787,0.957538388,0.1449634716,1.4998567261,0.4416271072,1.5944667878
20,-2.4106827745,M,-0.3279681542,-1.1436567124,-0.2598700657,-0.1871310194,-1.3607578952,0.2039533162,-1.062871172,0.2694548866
21,1.6603772222,A,-0.9759193394,0.1028275608,-0.6062852819,0.3621921549,-0.6464384309,1.1693091367,-0.1736513512,-2.4980728862
22,-1.3119870628,P,0.4830845591,1.0117533261,0.043653412,0.6383916639,-0.4090025897,-1.5520665879,-0.3680549471,-0.4143547676
23,-0.1606946661,D,0.7967469082,0.8850059173,1.0778681777,-1.2960503255,0.7818159941,0.9217407758,-0.8322553478,0.4256454901
24,-0.8044425154,I,1.093574903,-1.0009932853,0.0892975291,1.0675585469,-1.09204944,1.2283830754,-0.4135805527,-0.0946516104
25,-0.6119236113,C,0.6869000699,0.0472860583,-0.5035470615,-1.09445688,-0.2473798262,-1.5658801207,1.7510848668,-0.8171576144
26,-1.9940306629,Y,1.4940402885,1.3834204796,1.9055013617,-0.3758355308,-0.0903775291,-1.3134091666,1.2439145338,1.3649278403
27,0.9512736571,M,0.5357084017,1.2666473974,-1.4542560968,-0.8330195303,0.2926806241,-0.0872296544,-0.5623028,-0.7370392847
28,-1.1124715678,E,-0.4979604748,0.4093074717,1.0392147687,1.8014606554,-1.1750165347,0.2020782397,-0.8588001368,-0.2861179117
29,0.2292777936,F,-0.334238122,0.8063302967,-1.1694990623,-0.6769364908,0.4384363389,-0.391723899,-0.5646909607,0.6269094083
30,0.8562230263,Z,0.0457624848,0.6001249754,0.2082479814,0.3648955202,0.1216501248,-0.2883125174,-0.5136580921,0.0199070714
31,-0.2369050815,I,0.3003821325,-0.6863001008,0.3256640406,-0.1712699751,-1.6849692199,-0.5289275095,0.4298279703,-0.625484084
32,0.9319735794,R,0.7076911379,0.111960992,0.0279421129,-1.3858857801,0.6567559561,-1.2297528719,0.8828617119,-1.0502035995
33,0.5187862477,P,1.0642219138,-0.5900188042,-0.1079551525,0.9331644398,-1.3808078942,1.7646908702,1.023953306,-0.5653636077
34,0.8653844444,W,1.9801916435,-0.9628790388,-0.6051550752,-0.0326223114,1.2535792067,-1.5632747737,-1.6350514732,0.364085124
35,0.0548514395,X,-0.3148685631,1.5235316811,-0.63142574,0.20603896,-1.9277825487,-1.3787188742,-0.5057390745,0.3436755871
36,-0.0750810755,Q,0.235652081,-0.9821168133,1.0216796365,-1.7675397366,-0.5199348142,0.768149583,-0.5933846237,1.4000199775
37,-0.1447782294,B,-0.1862844286,-0.3123580074,1.2855068236,-0.3991971584,0.2672395659,-2.6587171586,-0.079416311,-0.002101332
38,0.9780720876,Y,-0.9453976813,0.1703586375,-1.8480960728,1.5165044159,-0.1533543495,0.6508242911,-2.4222272316,-0.6821231413
39,1.1043425777,K,-0.366558373,-1.6495518446,-0.7582474668,1.2494264623,1.4283866368,-0.2974190167,-0.2280239572,0.0004640713
40,0.1616180515,M,-0.2550517384,0.0955315028,-0.0239403445,0.1061118735,0.69192055,0.1909712418,-0.5009726732,2.2086969082
41,1.2155765202,K,-0.4692604147,-2.0771442369,0.4174868269,0.461897747,1.1675235364,0.1722744907,-0.8421229341,3.1963938514
42,0.2571203546,Q,0.5882938509,-0.3820981423,0.4964557379,0.7585552328,-0.678143203,2.4039937272,0.1077703348,-0.4541094494
43,-0.3424244972,E,0.4538315921,1.2057741297,0.1279556869,2.0855259536,-0.3325013411,-0.105364342,-1.3286013227,0.3074538671
44,0.5792097788,B,-1.7162910594,0.7318312512,0.1064122808,-2.3594275803,-0.6826413745,-0.965804337,-0.7371747912,0.8848896133
45,1.6479336737,L,-0.1071581183,-0.9276345593,-0.641617127,1.2885505149,-0.2548497757,0.1088441863,0.9017096959,0.5067290849
46,0.3295596049,S,1.2867536402,-2.5706419409,-0.9442698957,0.4083530049,-2.3990773328,-0.8636638303,-0.3138871739,0.0006914629
47,-0.5000344862,B,-0.264752687,0.8528723269,0.4407909595,1.8758720136,0.3833873881,-1.7806524424,-1.7312955459,-0.4439888956
48,0.4636154269,E,1.5297809523,0.4497268841,-1.1410541254,0.3927180523,0.5044657616,-1.2310172755,-0.6708938428,-0.6669827073
49,0.2598401918,L,1.0511802984,2.034787568,-2.6822559773,0.1868721228,1.5505374302,-2.281219901,-0.2434078732,1.5780253374
50,-0.1500483102,R,-0.3773836199,0.6200985237,-0.6070178156,-0.9744727949,0.5594805807,-0.4011191747,1.2042115758,0.7328335607
51,-0.7851289653,B,-0.088716318,0.7063233989,0.0097111649,-1.0349079064,0.115629626,0.0178658919,-0.86303966,-1.0376198672
52,0.2858234391,F,-0.170511843,-1.2358886273,0.5483291087,-0.3100387509,0.7915545041,0.6750230984,-0.5220412148,0.4852223851
53,-0.6540200956,O,0.0201474079,0.7420801577,0.6114659549,-0.279804839,-0.5552147505,-0.0127923384,-0.5096767128,-1.0804122284
54,0.6210694951,T,1.1826429605,-0.7353453233,0.5888232685,2.5490761794,-0.1276706821,-0.1626448844,0.1748966336,-1.2126643124
55,2.0533978198,A,-0.1645245831,1.455390446,-0.2871533392,0.2366301095,0.8959805484,-0.2104231193,0.1984831674,-1.7663914921
56,0.4323622672,V,0.1223261214,1.4105864053,-0.3724711818,0.4561813606,-1.9481906814,-1.201673316,-0.5999112107,0.6932353671
57,-2.6146918522,A,2.298308449,-0.5692578304,-1.2082087604,0.2470881673,-0.1188839341,-0.5464018825,-0.0517762382,0.3473472413
58,1.6353061646,F,-0.5933726523,-0.9738166749,-0.4156729805,-1.7699664214,-0.3758713735,-0.3640930847,-0.4762396468,-0.5690870743
59,0.1759489308,K,-0.4693278187,-1.4939814946,-0.4782456712,0.4276865753,0.6534078,0.519998177,-1.8942273595,1.184782286
60,-0.7232969923,C,-0.2994120746,0.1733373438,-1.3989450448,1.1628962583,-1.0258224499,0.2609464055,-1.6838757558,0.4419482469
61,-1.0832484773,K,0.8439587935,1.6295784268,0.5444043222,-0.2872022636,0.1542968853,0.9975009217,-0.2246892508,1.228058609
62,-1.0510891986,U,-0.0275169713,0.162632945,-1.2291945675,0.1344991989,0.0832720526,1.4626100753,-0.3498952679,-0.7360274689
63,1.0169181293,V,-0.4372687447,-1.3183839627,1.0096064829,0.0973674493,-0.8411954872,0.9129158053,1.6045724021,0.1047334545
64,0.4220498369,S,-1.3365386389,-0.395598364,0.9335863164,-0.1262185905,0.8725151337,-0.0689875836,-0.4473727559,1.2026456463
65,0.0485459671,H,-1.8196932688,-0.8760545546,-1.2401389778,0.0531704542,-0.6483503964,2.9790979341,0.8464520516,-0.311539962
66,0.1105098782,M,1.5969696841,0.4283751945,-0.1797301728,0.0345384074,-0.8715038055,-0.245964733,0.2286061742,-0.9037591137
67,-0.0717917443,P,-1.8879227746,-3.428329914,0.403451518,-0.3182930993,-0.0023932872,-1.6997381049,0.2336909988,0.5144216635
68,-1.8864630534,V,-0.2887062743,-0.0820263866,0.7895295873,-0.6493496012,0.5828557018,1.2336829434,0.0289484443,0.0884135687
69,1.7368833038,M,1.2219808082,0.2426017549,0.1269100385,-0.4589754163,-0.6350742113,0.2449833025,-1.3789265278,-0.0897024743
70,0.254272401,F,-1.4242454956,-0.4442373008,-1.2956163789,0.6493324776,-1.0987751223,-1.6838568278,0.4636386727,-0.6151617951
71,-0.0177330018,B,1.4780306928,-0.1242138948,-1.5860602233,1.0137210724,1.9617371012,1.4824331016,0.1919711177,0.8929718982
72,0.3138361018,N,1.4627384616,0.78793555,-2.3373855803,-0.6068855368,1.3205783031,1.4771054047,0.6305721478,0.0388067978
73,1.3723073964,W,-1.9036090742,-0.588503341,-1.8873718456,0.0851481748,0.0647693228,-0.9196477073,-0.3559429549,-1.6754505348
74,0.1495501783,B,1.3809260623,0.2509884556,0.1633179305,-0.1422159894,0.7736993078,-0.5352647628,0.7572034761,0.7618121469
75,2.0685956463,F,-0.1354855063,0.0119319239,0.5604149256,0.4188119989,0.2034772502,-0.4499623659,0.6355886663,-1.4344947619
76,1.7080844286,Q,1.0776691377,-0.3901714664,-1.0957463002,0.0715826272,0.4703121281,0.0810380269,0.1952179625,1.2051538017
77,0.7356351609,E,1.3097564795,0.6503625852,-0.4824049579,-0.0893848026,0.6066334922,-1.0858798867,-0.0871881501,-0.853229015
78,-0.5057258992,M,-1.7348668899,0.3855420105,2.4925271887,-1.2334992449,-0.4505330869,0.1529360426,-0.2172774908,0.6196016083
79,-1.2461427705,P,1.3768270583,-1.1739840179,0.1055718919,0.5378589981,0.2032671179,0.2190642833,1.297077478,-0.0276256553
80,-0.1104029277,N,-0.9411154679,-1.236659522,0.3990067105,0.5603381003,-0.8188015291,0.0871244127,-1.1487637747,0.3759301906
81,-0.8468551137,K,0.3811887496,1.9523428839,-0.9166985391,1.4806811454,0.0568691417,-1.2572293607,1.0274154738,0.2182985437
82,0.7887297216,U,2.1781446198,-0.478060371,0.7771444834,0.6444704686,-0.3038867492,0.8438309756,-0.2220606745,-1.7065213182
83,1.3783315383,B,-2.517549468,-1.1923448769,0.2628319892,0.2685471101,-1.3939410408,-0.8311003339,0.7946016455,-0.1360109153
84,-0.7320501992,P,0.6964226535,-0.6156291853,1.7244169242,1.6648492029,-0.3597075922,-1.0400925163,-0.2134602859,0.1278371519
85,0.1443931366,H,0.4815360971,-0.5718803276,-0.2442040764,0.5473263149,0.6757373739,-1.0232141895,0.2463562887,-1.0060845444
86,0.5320421178,T,-0.3118952209,-0.0931825124,2.1670366417,0.4096609081,-2.5890060344,0.5417639822,1.1247740709,1.6490759055
87,1.2214352434,O,-0.7929902943,1.5495523458,-0.5934014879,-1.0801108499,-0.0577925978,0.149035519,1.8379669824,0.6421386516
88,-0.3733558874,B,0.0051509823,-0.5603324332,0.688345706,-1.4520957097,0.8441871703,-0.4999767733,-2.4858859742,0.3380364666
89,-0.4411131121,H,-0.2165175745,-1.5256617915,2.4571893982,-1.4406374903,-0.6231706306,0.160205711,2.1463577518,0.6687227982
90,-0.582784561,L,0.2341116976,0.0876914921,0.8939202386,-0.7168844198,1.7422059084,1.4489683968,-0.0733400495,-1.0176937021
91,1.7675281784,F,0.6404596709,-1.349844172,-0.8810114885,0.490488985,1.8139910368,0.0684801188,-2.4519730716,0.2106974185
92,-0.2827718025,R,-0.2194829534,-0.9963842912,-1.2381442299,-0.3593452129,0.578865284,1.9507931168,0.2879486902,-2.2211305197
93,0.8538607986,W,0.5210305308,-1.7453749568,-0.6599656112,-1.5570242739,0.3238352876,-1.1540441754,-1.9630814782,0.0735350007
94,0.3937867392,D,0.0198504765,-1.169601597,-1.0325085397,0.5079106635,-0.90690955,0.6115112088,-0.6620259417,1.017761655
95,0.6567392512,Z,-1.5042023274,2.2933132269,-0.7062018067,-0.0911182389,0.4445245043,-0.1967742767,-0.5503109697,-1.1382324378
96,-0.6859545984,F,-1.5832990239,0.6800521845,-0.6023774645,-0.6320015638,0.6152513325,-1.2026671517,1.0391608165,0.1719596004
97,-1.695363507,X,0.8533676858,0.4443492531,-1.3363518548,0.919824582,0.3744037425,1.7767410807,1.4016589773,2.444370552
98,-0.3748012791,S,0.8973074301,1.3039694814,-0.1881403138,-0.9298336441,0.0894873371,1.5146204615,1.4162947482,0.647087717
99,-1.4272615079,J,-0.1015313458,-0.4381787676,-0.0965834259,-0.5822252797,-1.2339557419,0.020717111,0.6558705176,-1.673679739
100,-1.1409979181,L,0.7282328096,0.0649406582,-2.1130310516,0.8522069849,-1.9168082325,0.3847657371,-0.1663498477,-0.9964370127
